Vintage,Product Name,Producer,Country,Region,Colour,Quantity,Format,Price (GBP),Duty,Availability,Conditions,ImageUrl
2010,Chevalier de Lascombes,Lascombes,France,Bordeaux,Red,1,Bts,32.00,IB,marketplace,,
2012,Chevalier de Lascombes,Lascombes,France,Bordeaux,Red,4,Bts,26.00,IB,marketplace,,
2012,Chevalier de Lascombes,Lascombes,France,Bordeaux,Red,1,6x75cl,141.00,IB,marketplace,,
1985,Barolo Falletto Riserva,Bruno Giacosa,Italy,Northern Italy,Red,9,Bts,2083.00,IB,marketplace,,
1985,Barolo Falletto Riserva,Bruno Giacosa,Italy,Northern Italy,Red,1,6x75cl,12500.00,IB,marketplace,,
1986,Barolo Falletto Riserva,Bruno Giacosa,Italy,Northern Italy,Red,4,Bts,1198.00,IB,marketplace,,
1986,Barolo Falletto Riserva,Bruno Giacosa,Italy,Northern Italy,Red,2,2x75cl,2398.00,DP,marketplace,,
1990,Barolo Falletto Riserva,Bruno Giacosa,Italy,Northern Italy,Red,1,Bts,1026.00,DP,immediate,,
1996,Barolo Falletto Riserva,Bruno Giacosa,Italy,Northern Italy,Red,3,Bts,896.00,IB,marketplace,,
1996,Barolo Falletto Riserva,Bruno Giacosa,Italy,Northern Italy,Red,1,Mags,1793.00,IB,marketplace,,
2012,Oberhauser Brucke Eiswein GK,Weingut Donnhoff,Germany,,White,1,12x37.5cl,1328.00,IB,marketplace,,
1998,Chateauneuf du Pape Reserve des Celestins,Henri Bonneau,France,Rhone,Red,1,Bts,898.00,IB,marketplace,,
1998,Chateauneuf du Pape Reserve des Celestins,Henri Bonneau,France,Rhone,Red,1,Bts,898.00,DP,marketplace,,
2005,Chateauneuf du Pape Reserve des Celestins,Henri Bonneau,France,Rhone,Red,2,Bts,774.00,IB,marketplace,,
2005,Chateauneuf du Pape Reserve des Celestins,Henri Bonneau,France,Rhone,Red,1,2x75cl,1549.00,IB,marketplace,,
2006,Chateauneuf du Pape Reserve des Celestins,Henri Bonneau,France,Rhone,Red,4,12x75cl,6115.00,IB,marketplace,,
2006,Chateauneuf du Pape Reserve des Celestins,Henri Bonneau,France,Rhone,Red,1,Mags,1020.00,IB,marketplace,,
2006,Chateauneuf du Pape Reserve des Celestins,Henri Bonneau,France,Rhone,Red,2,Bts,510.00,IB,marketplace,,
1985,Gloria,Gloria,France,Bordeaux,Red,8,Bts,56.00,IB,marketplace,,
2003,Gloria,Gloria,France,Bordeaux,Red,3,12x75cl,9446.00,IB,marketplace,,
2003,Gloria,Gloria,France,Bordeaux,Red,1,6xMags,9446.00,IB,marketplace,,
2003,Gloria,Gloria,France,Bordeaux,Red,10,Bts,787.00,IB,marketplace,,
2003,Gloria,Gloria,France,Bordeaux,Red,1,6x75cl,4722.00,IB,marketplace,,
2005,Gloria,Gloria,France,Bordeaux,Red,1,12x75cl,736.00,IB,marketplace,,
2008,Gloria,Gloria,France,Bordeaux,Red,7,6xMags,369.00,IB,immediate,,
2009,Gloria,Gloria,France,Bordeaux,Red,1,12x75cl,533.00,IB,immediate,,
2010,Gloria,Gloria,France,Bordeaux,Red,4,6xMags,513.00,IB,immediate,,
2010,Gloria,Gloria,France,Bordeaux,Red,11,6x75cl,257.00,IB,immediate,,
2011,Gloria,Gloria,France,Bordeaux,Red,150,12x75cl,372.00,IB,marketplace,,
2011,Gloria,Gloria,France,Bordeaux,Red,11,Bts,34.00,IB,marketplace,,
2011,Gloria,Gloria,France,Bordeaux,Red,64,6x75cl,188.00,IB,marketplace,,
2012,Gloria,Gloria,France,Bordeaux,Red,5,12x75cl,409.00,IB,marketplace,,
2012,Gloria,Gloria,France,Bordeaux,Red,42,6x75cl,205.00,IB,marketplace,,
2012,Gloria,Gloria,France,Bordeaux,Red,8,Bts,37.00,IB,marketplace,,
2008,Le Carre,Le Carre,France,Bordeaux,Red,1,Bts,45.00,IB,marketplace,,
1989,Barolo Cerequio,Roberto Voerzio,Italy,Northern Italy,Red,3,3x75cl,775.00,IB,marketplace,,
2001,Barolo Cerequio,Roberto Voerzio,Italy,Northern Italy,Red,3,Bts,228.00,IB,marketplace,,
2005,Barolo Cerequio,Roberto Voerzio,Italy,Northern Italy,Red,7,Bts,176.00,IB,marketplace,,
2009,Barolo Cerequio,Roberto Voerzio,Italy,Northern Italy,Red,1,Bts,145.00,IB,marketplace,,
2010,Westhofener Brunnenhauschen Abtserde GG,Weingut Keller,Germany,Rheinhessen,White,1,6x75cl,2099.00,IB,immediate,,
2009,Quarts de Chaume,Domaine des Baumard,France,Loire,White,2,Bts,54.00,IB,marketplace,,
2003,Il Carbonaione,Poggio Scalette,Italy,Central Italy,Red,16,Bts,44.00,IB,marketplace,,
2010,Il Carbonaione,Poggio Scalette,Italy,Central Italy,Red,5,12x75cl,569.00,IB,marketplace,,
2010,Il Carbonaione,Poggio Scalette,Italy,Central Italy,Red,11,Bts,50.00,IB,marketplace,,
2011,Branas Grand Poujeaux,Branas Grand Poujeaux,France,Bordeaux,Red,5,6x75cl,111.00,IB,marketplace,,
2012,Branas Grand Poujeaux,Branas Grand Poujeaux,France,Bordeaux,Red,77,3x75cl,64.00,IB,marketplace,,
2001,Pintia,Bodegas Pintia,Spain,Toro,Red,1,3x75cl,324.00,IB,marketplace,,
2005,Pintia,Bodegas Pintia,Spain,Toro,Red,4,6x75cl,399.00,IB,immediate,,
2008,Barolo Otin Fiorin Pie Rupestris - Nebioli,Cappellano,Italy,Northern Italy,Red,1,6x75cl,1446.00,IB,immediate,,
1994,Ferriere,Ferriere,France,Bordeaux,Red,4,Bts,49.00,IB,marketplace,,
1998,Ferriere,Ferriere,France,Bordeaux,Red,2,6xMags,716.00,IB,marketplace,,
2004,Ferriere,Ferriere,France,Bordeaux,Red,7,12x75cl,467.00,IB,marketplace,,
2005,Ferriere,Ferriere,France,Bordeaux,Red,1,6xMags,638.00,IB,marketplace,,
2009,Ferriere,Ferriere,France,Bordeaux,Red,80,12x75cl,706.00,IB,marketplace,,
2009,Ferriere,Ferriere,France,Bordeaux,Red,17,Bts,62.00,IB,marketplace,,
2009,Ferriere,Ferriere,France,Bordeaux,Red,6,Bts,62.00,DP,marketplace,,
2011,Ferriere,Ferriere,France,Bordeaux,Red,1,6xMags,420.00,IB,marketplace,,
2011,Ferriere,Ferriere,France,Bordeaux,Red,9,12x75cl,420.00,IB,marketplace,,
2011,Ferriere,Ferriere,France,Bordeaux,Red,1,6x75cl,211.00,IB,marketplace,,
2012,Ferriere,Ferriere,France,Bordeaux,Red,8,12x75cl,424.00,IB,marketplace,,
2012,Ferriere,Ferriere,France,Bordeaux,Red,2,3L,147.00,IB,marketplace,,
2012,Ferriere,Ferriere,France,Bordeaux,Red,41,6x75cl,213.00,IB,marketplace,,
2012,Ferriere,Ferriere,France,Bordeaux,Red,1,Bts,38.00,IB,marketplace,,
2010,Bandol Migoua,Domaine Tempier,France,French Regional,Red,1,Bts,90.00,IB,marketplace,,
1967,Massandra Kokur,Massandra,Ukraine,Massandra,White,4,Bts,143.00,IB,immediate,,
2009,Syrah Maroccoli,La Planeta,Italy,Southern Italy & Sicily,Red,14,Bts,28.00,IB,marketplace,,
0,Henriot Rose,Henriot,France,Champagne,Rose,32,6x75cl,236.00,IB,marketplace,,
0,1905 Amontillado Solera Fundacional,Perez Barquero,Spain,Jerez,White,1,Bts,219.00,IB,immediate,,
1985,Pommard Les Vignots,Maison Leroy,France,Burgundy,Red,1,Bts,817.00,IB,marketplace,,
1992,Pommard Les Vignots,Domaine Leroy,France,Burgundy,Red,1,Bts,2542.00,IB,marketplace,,
1993,Pommard Les Vignots,Domaine Leroy,France,Burgundy,Red,1,Bts,2189.00,IB,marketplace,,
1995,Pommard Les Vignots,Domaine Leroy,France,Burgundy,Red,2,Bts,3248.00,IB,marketplace,,
1995,Pommard Les Vignots,Domaine Leroy,France,Burgundy,Red,1,6x75cl,19502.00,IB,marketplace,,
1996,Pommard Les Vignots,Domaine Leroy,France,Burgundy,Red,2,Bts,2499.00,IB,marketplace,,
1997,Pommard Les Vignots,Domaine Leroy,France,Burgundy,Red,2,Bts,2394.00,IB,marketplace,,
1998,Pommard Les Vignots,Domaine Leroy,France,Burgundy,Red,3,Bts,2946.00,IB,marketplace,,
2007,Pommard Les Vignots,Domaine Leroy,France,Burgundy,Red,1,Bts,3499.00,IB,marketplace,,https://www.frw.co.uk/media-live/product-images/products-wp/3823/e7412e91-4b67-4378-b8f9-b0c353e9d687_thumbnail.jpeg
2007,Pommard Les Vignots,Domaine Leroy,France,Burgundy,Red,1,6x75cl,20993.00,IB,marketplace,,https://www.frw.co.uk/media-live/product-images/products-wp/3823/e7412e91-4b67-4378-b8f9-b0c353e9d687_thumbnail.jpeg
1995,La Louviere,La Louviere,France,Bordeaux,Red,15,Bts,40.00,IB,marketplace,,
1995,La Louviere,La Louviere,France,Bordeaux,Red,1,6x75cl,225.00,IB,marketplace,,
1998,La Louviere,La Louviere,France,Bordeaux,Red,1,12x75cl,322.00,IB,marketplace,,
1999,La Louviere,La Louviere,France,Bordeaux,Red,10,Bts,37.00,IB,marketplace,,
2007,La Louviere,La Louviere,France,Bordeaux,Red,2,Bts,29.00,IB,marketplace,,
1999,The Malcolm Shiraz,Magpie Estate,Australia,South Australia,Red,1,12x75cl,2901.00,IB,marketplace,,
1999,The Malcolm Shiraz,Magpie Estate,Australia,South Australia,Red,7,Bts,243.00,IB,marketplace,,
1999,The Malcolm Shiraz,Magpie Estate,Australia,South Australia,Red,3,6x75cl,1450.00,IB,marketplace,,
2006,The Malcolm Shiraz,Magpie Estate,Australia,South Australia,Red,2,6x75cl,545.00,IB,immediate,,
2006,The Malcolm Shiraz,Magpie Estate,Australia,South Australia,Red,1,6x75cl,545.00,DP,marketplace,,
1966,Figeac,Figeac,France,Bordeaux,Red,11,3x75cl,1818.00,IB,marketplace,,
1978,Figeac,Figeac,France,Bordeaux,Red,1,12x75cl,2393.00,IB,marketplace,,
1978,Figeac,Figeac,France,Bordeaux,Red,1,Mags,398.00,IB,marketplace,,
1982,Figeac,Figeac,France,Bordeaux,Red,2,Bts,411.00,IB,marketplace,,
1988,Figeac,Figeac,France,Bordeaux,Red,3,12x75cl,2108.00,IB,marketplace,,
1990,Figeac,Figeac,France,Bordeaux,Red,3,Bts,321.00,IB,marketplace,,
2002,Figeac,Figeac,France,Bordeaux,Red,1,6xMags,2152.00,IB,marketplace,,
2002,Figeac,Figeac,France,Bordeaux,Red,2,Bts,181.00,IB,marketplace,,
2006,Figeac,Figeac,France,Bordeaux,Red,1,12x75cl,2511.00,IB,marketplace,,
2006,Figeac,Figeac,France,Bordeaux,Red,7,Bts,211.00,IB,marketplace,,
2006,Figeac,Figeac,France,Bordeaux,Red,2,6x75cl,1255.00,IB,marketplace,,
2007,Figeac,Figeac,France,Bordeaux,Red,1,12x75cl,2028.00,IB,marketplace,,
2007,Figeac,Figeac,France,Bordeaux,Red,2,Bts,171.00,IB,marketplace,,
2007,Figeac,Figeac,France,Bordeaux,Red,3,Mags,338.00,IB,marketplace,,
2007,Figeac,Figeac,France,Bordeaux,Red,1,6L,1419.00,IB,marketplace,,
2008,Figeac,Figeac,France,Bordeaux,Red,1,5L,1167.00,DP,marketplace,,
2011,Figeac,Figeac,France,Bordeaux,Red,11,12x75cl,2014.00,IB,marketplace,,
2011,Figeac,Figeac,France,Bordeaux,Red,5,Bts,170.00,IB,marketplace,,
2011,Figeac,Figeac,France,Bordeaux,Red,4,6x75cl,1008.00,IB,marketplace,,
1999,Alion,Vega Sicilia,Spain,Ribera del Duero,Red,3,Bts,92.00,IB,marketplace,,
2007,Alion,Vega Sicilia,Spain,Ribera del Duero,Red,2,Bts,83.00,IB,marketplace,,
2008,Alion,Vega Sicilia,Spain,Ribera del Duero,Red,1,Bts,85.00,IB,marketplace,,
2008,Alion,Vega Sicilia,Spain,Ribera del Duero,Red,1,6x75cl,493.00,IB,immediate,,
2004,Guy Charlemagne Mesnillesime,Guy Charlemagne,France,Champagne,White,2,6x75cl,328.00,IB,immediate,,
1983,La Pointe,La Pointe,France,Bordeaux,Red,3,Bts,45.00,IB,marketplace,,
2002,La Pointe,La Pointe,France,Bordeaux,Red,4,Bts,25.00,IB,marketplace,,
2006,La Pointe,La Pointe,France,Bordeaux,Red,1,12x75cl,689.00,IB,marketplace,,
2011,La Pointe,La Pointe,France,Bordeaux,Red,87,6x75cl,196.00,IB,marketplace,,
2012,La Pointe,La Pointe,France,Bordeaux,Red,2,12x75cl,530.00,IB,marketplace,,
2012,La Pointe,La Pointe,France,Bordeaux,Red,8,Bts,47.00,IB,marketplace,,
1993,Cabernet Sauvignon Private Reserve,Beringer,United States,California,Red,1,6xMags,1007.00,IB,marketplace,,
1993,Cabernet Sauvignon Private Reserve,Beringer,United States,California,Red,14,Mags,170.00,IB,marketplace,,
1995,Cabernet Sauvignon Private Reserve,Beringer,United States,California,Red,11,Mags,258.00,IB,marketplace,,
1996,Cabernet Sauvignon Private Reserve,Beringer,United States,California,Red,5,Bts,148.00,IB,marketplace,,
2001,Cabernet Sauvignon Private Reserve,Beringer,United States,California,Red,1,12x75cl,2096.00,IB,marketplace,,
2005,Cabernet Sauvignon Private Reserve,Beringer,United States,California,Red,1,6x75cl,833.00,IB,immediate,,
1994,Cabernet Sauvignon Private Reserve,Robert Mondavi Winery,United States,California,Red,10,Bts,189.00,IB,marketplace,,
1995,Cabernet Sauvignon Private Reserve,Robert Mondavi Winery,United States,California,Red,4,12x75cl,2115.00,IB,marketplace,,
1995,Cabernet Sauvignon Private Reserve,Robert Mondavi Winery,United States,California,Red,18,Bts,178.00,IB,marketplace,,
1996,Cabernet Sauvignon Private Reserve,Robert Mondavi Winery,United States,California,Red,2,12x75cl,1549.00,IB,marketplace,,
1996,Cabernet Sauvignon Private Reserve,Robert Mondavi Winery,United States,California,Red,34,Bts,131.00,IB,marketplace,,
1997,Cabernet Sauvignon Private Reserve,Robert Mondavi Winery,United States,California,Red,88,12x75cl,1452.00,IB,marketplace,,
1997,Cabernet Sauvignon Private Reserve,Robert Mondavi Winery,United States,California,Red,23,Bts,123.00,IB,marketplace,,
1998,Cabernet Sauvignon Private Reserve,Robert Mondavi Winery,United States,California,Red,4,Bts,110.00,IB,marketplace,,
1995,Morey St Denis Vieilles Vignes,Hubert Lignier,France,Burgundy,Red,4,Bts,327.00,IB,marketplace,,
2000,Morey St Denis Vieilles Vignes,Hubert Lignier,France,Burgundy,Red,1,Bts,378.00,IB,marketplace,,
2007,Cotes du Rhone Villages Terre d'Argile,Domaine de la Janasse,France,Rhone,Red,2,12x75cl,181.00,IB,immediate,,
1997,Insignia,Joseph Phelps,United States,California,Red,1,12x75cl,4869.00,IB,marketplace,,
1997,Insignia,Joseph Phelps,United States,California,Red,4,Mags,812.00,IB,marketplace,,
1997,Insignia,Joseph Phelps,United States,California,Red,3,6x75cl,2434.00,IB,marketplace,,
2000,Insignia,Joseph Phelps,United States,California,Red,1,Mags,544.00,IB,immediate,,
2007,Insignia,Joseph Phelps,United States,California,Red,1,12x75cl,3172.00,DP,marketplace,,
2008,Insignia,Joseph Phelps,United States,California,Red,3,Mags,399.00,IB,marketplace,,
2008,Insignia,Joseph Phelps,United States,California,Red,3,Bts,201.00,IB,marketplace,,
2008,Insignia,Joseph Phelps,United States,California,Red,1,3xMags,1198.00,IB,marketplace,,
2007,La Confession,La Confession,France,Bordeaux,Red,1,12x75cl,251.00,IB,marketplace,,
2008,La Confession,La Confession,France,Bordeaux,Red,1,3L,160.00,IB,marketplace,,
1995,Tokaji Aszu Essencia,The Royal Tokaji Company,Hungary,Tokaji,White,2,50cl,465.00,DP,marketplace,,
1990,La Tour de By,La Tour de By,France,Bordeaux,Red,1,Bts,25.00,IB,marketplace,,
1999,La Tour de By,La Tour de By,France,Bordeaux,Red,7,Mags,81.00,IB,marketplace,,
2000,La Tour de By,La Tour de By,France,Bordeaux,Red,2,Mags,62.00,IB,marketplace,,
2004,La Tour de By,La Tour de By,France,Bordeaux,Red,1,12x75cl,359.00,IB,marketplace,,
2010,La Tour de By,La Tour de By,France,Bordeaux,Red,1,12x75cl,206.00,IB,immediate,,
2011,La Tour de By,La Tour de By,France,Bordeaux,Red,1,12x75cl,117.00,IB,marketplace,,
2012,La Tour de By,La Tour de By,France,Bordeaux,Red,1,12x75cl,127.00,IB,marketplace,,
2009,Nuits St Georges Les Boudots,Domaine Jean Grivot,France,Burgundy,Red,1,6xMags,3028.00,IB,marketplace,,
1988,Nuits St Georges Les Boudots,Domaine Leroy,France,Burgundy,Red,2,Bts,2978.00,IB,marketplace,,
1990,Nuits St Georges Les Boudots,Domaine Leroy,France,Burgundy,Red,4,Bts,2600.00,IB,marketplace,,
1995,Nuits St Georges Les Boudots,Domaine Leroy,France,Burgundy,Red,5,Bts,2993.00,IB,immediate/marketplace,,
1999,Nuits St Georges Les Boudots,Domaine Leroy,France,Burgundy,Red,1,12x75cl,46644.00,IB,marketplace,,https://www.frw.co.uk/media-live/product-images/products-wp/4972/e6c257dc-eb0a-4e9b-b14e-cfc2559f3091_thumbnail.jpeg
1999,Nuits St Georges Les Boudots,Domaine Leroy,France,Burgundy,Red,1,Bts,3909.00,IB,marketplace,,https://www.frw.co.uk/media-live/product-images/products-wp/4972/e6c257dc-eb0a-4e9b-b14e-cfc2559f3091_thumbnail.jpeg
